"Subject","Session","Set","Rep","PV"
14,"CLU_1",3,"Rep8",-6.766093609
15,"CLU_1",3,"Rep8",-3.256272143
16,"CLU_1",3,"Rep8",-3.102517787
17,"CLU_1",3,"Rep8",2.098516025
18,"CLU_1",3,"Rep8",-2.620143002
19,"CLU_1",3,"Rep8",-2.570809528
20,"CLU_1",3,"Rep8",-3.868602616
1,"CLU_1",3,"Rep9",-1.523168118
2,"CLU_1",3,"Rep9",-0.476183653
3,"CLU_1",3,"Rep9",2.683504341
4,"CLU_1",3,"Rep9",-4.503327171
5,"CLU_1",3,"Rep9",3.086629042
6,"CLU_1",3,"Rep9",-1.940367085
7,"CLU_1",3,"Rep9",0.860956354
8,"CLU_1",3,"Rep9",1.518125476
9,"CLU_1",3,"Rep9",1.205438763
10,"CLU_1",3,"Rep9",-0.911023037
11,"CLU_1",3,"Rep9",-0.681348013
12,"CLU_1",3,"Rep9",0.566585174
13,"CLU_1",3,"Rep9",4.821186271
14,"CLU_1",3,"Rep9",-0.367191318
15,"CLU_1",3,"Rep9",-4.121697423
16,"CLU_1",3,"Rep9",-8.972765984
17,"CLU_1",3,"Rep9",1.477437151
18,"CLU_1",3,"Rep9",-0.197348749
19,"CLU_1",3,"Rep9",-2.649025569
20,"CLU_1",3,"Rep9",-3.394177541
1,"CLU_3",1,"Rep1",0
2,"CLU_3",1,"Rep1",0
3,"CLU_3",1,"Rep1",0
4,"CLU_3",1,"Rep1",0
5,"CLU_3",1,"Rep1",0
6,"CLU_3",1,"Rep1",0
7,"CLU_3",1,"Rep1",0
8,"CLU_3",1,"Rep1",0
9,"CLU_3",1,"Rep1",0
10,"CLU_3",1,"Rep1",0
11,"CLU_3",1,"Rep1",0
12,"CLU_3",1,"Rep1",0
13,"CLU_3",1,"Rep1",0
14,"CLU_3",1,"Rep1",0
15,"CLU_3",1,"Rep1",0
16,"CLU_3",1,"Rep1",0
17,"CLU_3",1,"Rep1",0
18,"CLU_3",1,"Rep1",0
19,"CLU_3",1,"Rep1",0
20,"CLU_3",1,"Rep1",0
1,"CLU_3",1,"Rep2",-3.253367853
2,"CLU_3",1,"Rep2",2.213650652
3,"CLU_3",1,"Rep2",-1.172685226
4,"CLU_3",1,"Rep2",3.260718446
5,"CLU_3",1,"Rep2",5.805792353
6,"CLU_3",1,"Rep2",7.018977295
7,"CLU_3",1,"Rep2",1.621381942
8,"CLU_3",1,"Rep2",-4.15219064
9,"CLU_3",1,"Rep2",0.572694959
10,"CLU_3",1,"Rep2",-3.875980073
11,"CLU_3",1,"Rep2",-0.89312546
12,"CLU_3",1,"Rep2",-3.509990702
13,"CLU_3",1,"Rep2",1.543845079
14,"CLU_3",1,"Rep2",-2.981438915
15,"CLU_3",1,"Rep2",2.228252128
16,"CLU_3",1,"Rep2",-0.146330749
17,"CLU_3",1,"Rep2",-1.299780942
18,"CLU_3",1,"Rep2",-1.293393482
19,"CLU_3",1,"Rep2",-2.245734664
20,"CLU_3",1,"Rep2",-3.339826761
1,"CLU_3",1,"Rep3",-5.966097431
2,"CLU_3",1,"Rep3",1.971299908
3,"CLU_3",1,"Rep3",-4.980468473
4,"CLU_3",1,"Rep3",-1.177854808
5,"CLU_3",1,"Rep3",-0.906825305
6,"CLU_3",1,"Rep3",1.233725309
7,"CLU_3",1,"Rep3",-3.785303226
8,"CLU_3",1,"Rep3",-6.463141231
9,"CLU_3",1,"Rep3",-2.444203528
10,"CLU_3",1,"Rep3",-6.409258482
11,"CLU_3",1,"Rep3",-3.17800906
12,"CLU_3",1,"Rep3",-5.674763009
13,"CLU_3",1,"Rep3",-2.090308588
14,"CLU_3",1,"Rep3",-7.631727478
15,"CLU_3",1,"Rep3",1.912494877
16,"CLU_3",1,"Rep3",-0.779587861
17,"CLU_3",1,"Rep3",-3.90179497
18,"CLU_3",1,"Rep3",-2.377337709
19,"CLU_3",1,"Rep3",-6.005161823
20,"CLU_3",1,"Rep3",-4.931555567
1,"CLU_3",1,"Rep4",-3.118260692
2,"CLU_3",1,"Rep4",2.550001765
3,"CLU_3",1,"Rep4",-1.792048052
4,"CLU_3",1,"Rep4",-4.523400218
